name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash_months,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_positive,wf_n_beats_spy,wf_n_splits,scorer,k_combo,weighting,gate,hold
mom_12_1|k7_5_5|invvol|loose|h3,0.13453309781718503,0.1194382410561079,1.5094856761077136,0.6677318892457782,-0.6427077349220163,24,0.16324070684512096,0.1427719118457894,-0.11719448372287733,0.4137024829737306,1.5180509505686346,9,6,10,mom_12_1,k7_5_5,invvol,loose,3
mom_12_1|k7_5_5|invvol|loose|h6,0.106144957209801,0.1194382410561079,-1.3293283846306903,0.5535841442621935,-0.5984921343295706,21,0.12863850904316618,0.1202516722486231,-0.06676331635084498,0.3585533954315001,-1.942168829626842,9,2,10,mom_12_1,k7_5_5,invvol,loose,6
mom_12_1|k7_5_5|invvol|none|h1,0.12137117022239896,0.1194382410561079,0.19329291662910641,0.6339243669323843,-0.6566209529334939,0,0.1391504164775927,0.1438986350163246,-0.10229969177692477,0.2763390769183167,-0.8909780861841934,9,5,10,mom_12_1,k7_5_5,invvol,none,1
mom_12_1|k7_5_5|invvol|none|h3,0.12786628845275816,0.1194382410561079,0.8428047396650262,0.6193180327768998,-0.7039710819284192,0,0.1637536653212711,0.16725829661956726,-0.11297585906773255,0.42630062337772046,1.5693467981836506,9,6,10,mom_12_1,k7_5_5,invvol,none,3
mom_12_1|k7_5_5|invvol|none|h6,0.10800776725610772,0.1194382410561079,-1.1430473800000174,0.550336494923527,-0.682039719672956,0,0.16053288882018749,0.17738822881588945,-0.13878150164621628,0.41249590213351106,1.2472691480752884,9,7,10,mom_12_1,k7_5_5,invvol,none,6
mom_12_1|k5_3_3|ew|tight|h1,0.12616518041575375,0.1194382410561079,0.6726939359645856,0.5919766692224819,-0.6805800858146257,12,0.15775693410935787,0.12242089476847995,-0.02889585477820078,0.48562200656342025,0.9696736769923264,9,5,10,mom_12_1,k5_3_3,ew,tight,1
mom_12_1|k5_3_3|ew|tight|h3,0.13115707332358517,0.1194382410561079,1.1718832267477275,0.5774975381003459,-0.7559522134331648,5,0.15214860616731737,0.12443927088339768,0.03679868142117648,0.3136241887045057,0.40884088278827757,10,5,10,mom_12_1,k5_3_3,ew,tight,3
mom_12_1|k5_3_3|ew|tight|h6,0.0674212863597814,0.1194382410561079,-5.20169546963265,0.37540619311954593,-0.814184810572116,4,0.11102853207018801,0.07853218819730357,-0.024526216189895367,0.3048377609653319,-3.7031665269246594,9,3,10,mom_12_1,k5_3_3,ew,tight,6
mom_12_1|k5_3_3|ew|loose|h1,0.1448537132567589,0.1194382410561079,2.541547220065099,0.66434568393069,-0.6038538772685781,36,0.18856628817768703,0.15047877507269747,0.013657368303781059,0.49849051413106826,4.050609083825242,10,6,10,mom_12_1,k5_3_3,ew,loose,1
mom_12_1|k5_3_3|ew|loose|h3,0.09737890137670235,0.1194382410561079,-2.2059339679405543,0.4736824243542705,-0.8763979693264502,24,0.15072117793874948,0.1358913995487674,-0.17714359001072377,0.4856883487875605,0.2660980599314867,9,6,10,mom_12_1,k5_3_3,ew,loose,3
