date,ret_m,n_picks,scale,picks,pick_ret_min,pick_ret_max,pick_ret_mean,top_w_pick,top_w,reason
2015-06-30,-0.015084424040909289,29,1.0,"NOV,FCX,WYNN,CHK,DO,STX,CB,QEP,HSY,BEN,OKE,EXC,FTR,GRMN,AXP,SO,MSI,CNX,CMG,KO,CRM,FTI,ETR,DUK,HPQ,SRE,XRX,FLS,ARNC",-0.36283011575568014,0.22684669077427022,-0.040312318571883825,CB,0.05000000000000001,ok
2015-07-31,-0.04659105216044725,29,1.0,"CHK,FCX,MU,CNX,WMB,IRM,URI,AVGO,OKE,SYMC,RRC,BBBY,HST,FTR,SWN,ALXN,APA,GE,KMI,NFX,DO,STX,MRO,GPS,DOV,AXP,ABC,PG,JNPR",-0.17705850893998185,0.18821605077543008,-0.04172728751289784,HST,0.05,ok
2015-08-31,-0.024312529798627185,30,0.6723077699406097,"NEM,FCX,CHK,MYL,BIIB,CNX,CMCSA,BBBY,SRE,TWX,PCG,GRMN,BAC,AAL,DE,M,PCAR,ETR,FE,HON,ALL,RHI,FOSL,CERN,ANDV,MTB,KR,PRGO,EMR,RL",-0.35653315838871547,0.07418160212855938,-0.04748942942852277,HON,0.0490569142774783,ok
2015-09-30,0.0,0,0.0,,,,,,,regime
2015-10-30,0.0,0,0.0,,,,,,,regime
2015-11-30,-0.07353184061089281,30,1.0,"CNX,RRC,WMB,EQT,SWN,OKE,UAL,APA,KMI,BIIB,AKAM,HCA,M,NRG,VTR,MU,MOS,NEM,UNP,HAL,LUV,UHS,RHI,R,HUM,CVS,BKNG,BEN,EW,SLG",-0.3669921580279486,0.07197472039829109,-0.07442710019846552,CVS,0.05,ok
2015-12-31,-0.000985183376376802,30,0.9851833763768021,"FCX,MUR,BBBY,FOSL,RIG,MRO,MU,THC,CNX,M,SWKS,HP,VFC,HES,NWSA,PWR,CF,PRGO,MOS,HAR,CMI,GILD,MAR,TDC,GPS,AKAM,KMI,COF,AAPL,AAL",0.0,0.0,0.0,CMI,0.048607932682165934,ok
2016-01-29,0.0,0,0.0,,,,,,,regime
2016-02-29,0.06812509434006965,30,0.9805015914576097,"ENDP,NFLX,MUR,RIG,REGN,MTB,AMP,MU,ALXN,LLY,ZION,GILD,JPM,EOG,THC,WAT,BBT,EBAY,AIG,NTRS,AMGN,ZTS,RF,RCL,HCA,COP,SCHW,MCK,MYL,STT",-0.3267161278661663,0.4662396430330782,0.07016131778159002,WAT,0.05,ok
2016-03-31,-0.001,29,1.0,"VRTX,RIG,AGN,MNK,KMI,NEM,ANDV,DO,MRO,ABC,CTXS,LOW,ICE,LLY,ETFC,UAL,HUM,MU,MHK,RF,URI,CF,UHS,CAT,AES,HOLX,ALL,NFX,EXPE",0.0,0.0,0.0,ABC,0.05000000000000001,ok
2016-04-29,0.0,0,0.0,,,,,,,regime
2016-05-31,0.0030255627689035726,30,1.0,"ENDP,STX,MNK,VLO,NEM,MUR,SYMC,CI,RIG,ARNC,GT,JWN,MYL,DAL,APA,BSX,JEF,CHRW,AAL,OKE,FTR,EXC,PEG,BAX,ABC,ALK,CTL,WBA,ANDV,FLIR",-0.16175827793247366,0.2145046363281339,0.007172065717681021,CHRW,0.05,ok
2016-06-30,-0.0009465646217676205,29,0.9465646217676205,"CHK,ENDP,SYMC,RIG,STX,PRGO,CF,MU,RCL,NEM,NFX,BWA,OKE,NBL,DO,CVS,ARNC,CTL,CMG,HP,CPRI,JWN,TPR,LB,HAL,APA,FL,CAT,VLO",0.0,0.0,0.0,CVS,0.04999999999999999,ok
2016-07-29,0.0,0,0.0,,,,,,,regime
2016-08-31,0.03457988308007558,30,1.0,"FCX,WYNN,MUR,RRC,SYMC,PRGO,SWN,NBL,RIG,APA,COP,MU,OI,TPR,HES,NOV,FMC,FTI,TDC,HAL,MRO,VTR,NEM,CNP,AWK,FLS,PXD,NI,GRMN,NAVI",-0.03395614080373847,0.2851108331453647,0.04357013449997335,VTR,0.05,ok
2016-09-30,-0.04368992047210893,30,1.0,"RRC,ENDP,NEM,APA,WYNN,OKE,URI,DHR,SWN,BBBY,MAT,TDC,VTR,FMC,CMI,AES,NAVI,MYL,PXD,TPR,MU,URBN,AFL,PVH,NKE,ARNC,ALB,ADM,GRMN,MHK",-0.24927744011766026,0.04128140362190309,-0.049323376618393526,VTR,0.05,ok
2016-10-31,0.03912790107724832,30,1.0,"NEM,ENDP,FCX,WYNN,MNK,RRC,OKE,XRAY,BBBY,DG,PRGO,AES,VTR,HES,FTI,LYB,TDC,COO,HP,MCK,EXR,GRMN,GLW,WDC,COST,CME,AMGN,CBRE,CSCO,IRM",-0.1461333211263021,0.3729874787348728,0.05121707040948791,XRAY,0.05000000000000001,ok
2016-11-30,-0.001,29,1.0,"NEM,FCX,RRC,PRGO,SWN,URBN,ENDP,WYNN,OKE,TRIP,AGN,MU,SRCL,DVN,CERN,APA,FTR,PBI,NRG,GRMN,PVH,VFC,PWR,SLG,AES,VRTX,LLY,QCOM,K",0.0,0.0,0.0,CERN,0.04999999999999999,ok
2016-12-30,0.0,0,0.0,,,,,,,regime
2017-01-31,0.004218529790237687,30,1.0,"NVDA,WMB,APA,OKE,FTI,DVN,SWN,MU,URI,ZION,MS,MUR,HP,C,NBL,WDC,NAVI,EOG,CBRE,COP,KEY,MRO,PVH,R,BEN,RL,HAR,CXO,FITB,KMI",-0.16648168278527933,0.39583311629817464,-0.00024519207567247163,RL,0.044065011946704494,ok
2017-02-28,0.004848813293783839,29,1.0,"ENDP,SYMC,WMB,MRO,DVN,CHK,HBI,HES,FTI,NBL,MU,WDC,HAR,INCY,HP,MUR,NVDA,URI,BBBY,SIG,AAL,WYNN,FSLR,RHI,RF,FMC,PWR,TDC,HAL",-0.25117431860112444,0.23293498379819863,0.0015647827023276904,PWR,0.04999999999999999,ok
2017-03-31,-0.001,29,1.0,"CHK,FCX,MNK,SWN,SYMC,WMB,MRO,DVN,RIG,LNC,HBI,NTAP,NRG,INCY,URI,FITB,TRIP,WDC,SIG,UAA,CSX,NAVI,FTI,HP,OKE,WYNN,AKAM,PWR,GS",0.0,0.0,0.0,GS,0.05,ok
2017-04-28,0.0,0,0.0,,,,,,,regime
