date,ret_m,n_picks,picks,reason
2018-02-28,-0.001,29,"NOC,LMT,HD,AVY,MA,MMM,UNH,ITW,ACN,CME,V,MSFT,BLK,STZ,MAR,ROP,ADBE,BDX,SYK,ZTS,AET,AMZN,SHW,MNST,ANTM,NEE,GOOG,GOOGL,EL",ok
2018-03-29,0.0,0,,regime
2018-04-30,0.015414541803707556,30,"NDAQ,NOC,PGR,CME,LMT,MSCI,STZ,ZTS,NEE,XYL,CTAS,INTU,EL,ADBE,MSI,UNH,DXC,ROP,ETFC,HUM,KDP,MAR,HD,BDX,AMZN,INFO,VLO,EXR,AVY,MMC",ok
2018-05-31,-0.001,30,"MA,NDAQ,INTU,V,PGR,STZ,CTAS,UNH,NEE,SYK,ADBE,TDG,HUM,NOC,VLO,ZTS,WM,MSFT,ETFC,ABMD,MSI,EXR,KDP,DXC,AMZN,SYY,HD,INFO,PSX,MAR",ok
2018-06-29,0.0,0,,regime
2018-07-31,0.04833729646018709,30,"BR,CTAS,MSCI,INTU,FISV,EXR,NDAQ,SPGI,SYY,VRSN,ZTS,NEE,ADP,UNH,TDG,MSI,HD,ADBE,HUM,INFO,AEE,CTXS,STZ,PEG,ETFC,AWK,ABMD,IDXX,AMZN,COST",ok
2018-08-31,-0.001,30,"CTAS,INTU,TDG,NEE,HUM,MSCI,VRSN,V,UNH,BR,NDAQ,HD,ADP,PGR,SYY,COST,LLY,MSFT,ZTS,CTXS,MSI,AEE,ABMD,PEG,AWK,AET,EXR,AMZN,SHW,INFO",ok
2018-09-28,0.0,0,,regime
2019-04-30,0.002932344896014909,30,"WM,PAYX,AWK,DHR,RSG,NEE,FISV,AMT,AEE,CCI,XEL,MSCI,ADP,CDNS,SNPS,LLY,ROP,INTU,TMO,ECL,MTD,UDR,MMC,ORLY,BLL,YUM,CHD,ARE,GPN,AON",ok
2019-05-31,-0.001,30,"WM,DHR,PAYX,MSCI,CINF,RSG,AWK,VRSK,AMT,SNPS,CDNS,PGR,GPN,ROP,ECL,NEE,APD,XEL,BLL,VRSN,EQIX,ATO,ARE,YUM,CCI,ZTS,CHD,MTD,MMC,SBUX",ok
2019-06-28,0.0,0,,regime
2019-07-31,-0.001,30,"WM,AWK,CINF,MKC,MCD,DHR,NEE,VRSK,PGR,MKTX,AJG,GPN,RSG,ECL,APD,INFO,ZTS,YUM,SNPS,MSI,AMT,ACN,XEL,ROP,MTD,HON,BLL,SBUX,TMO,WEC",ok
2019-08-30,0.0,0,,regime
2019-09-30,-0.013421758548531795,30,"WM,AWK,CINF,NEE,RSG,CME,VRSK,EXR,MCD,WEC,CTAS,ZTS,INFO,ICE,XEL,YUM,SPGI,AMT,CCI,MSI,EQIX,MKTX,COST,ECL,SBUX,SNPS,TFX,SYK,BLL,DHR",ok
2019-10-31,-0.001,30,"NEE,AWK,CINF,WM,CMS,WEC,CTAS,EQIX,INFO,MAA,ZTS,HD,AMT,CPRT,FISV,CME,EXR,VRSK,ICE,YUM,MKTX,SYK,COST,MCD,SNPS,CDW,ECL,SHW,MSI,DHR",ok
2019-11-29,0.0,0,,regime
2019-12-31,0.04202508574097607,30,"NEE,INFO,FISV,CPRT,MAA,CDW,PLD,SYY,SPGI,GPN,AWK,ANSS,WRB,ARE,COST,TDG,CTAS,LNT,LMT,MSFT,MMC,CMS,EQIX,MKTX,ACN,EW,CHTR,SHW,AVY,ZTS",ok
2020-01-31,-0.001,30,"NEE,INFO,MSFT,SYY,CPRT,CDW,CHTR,GPN,JPM,LDOS,LMT,MMC,ALLE,ANSS,GL,ACN,MSCI,ZTS,LW,MKC,ETR,CMS,LNT,DHR,EQIX,PLD,MAA,ARE,AAPL,COST",ok
2020-02-28,0.0,0,,regime
2020-03-31,0.0,0,,regime
2020-04-30,-0.001,30,"JKHY,MSFT,CTXS,AMZN,PGR,DHR,COST,NEE,EQIX,TTWO,TMO,BAX,CLX,ADBE,LDOS,ZTS,CCI,TMUS,DLR,SNPS,XEL,CHTR,MSCI,DG,VRSK,AMT,AWK,WMT,LMT,ODFL",ok
2020-05-29,0.0,0,,regime
2020-06-30,0.08474292154901548,30,"JKHY,AMZN,WST,BIO,MSFT,SNPS,DHR,CTXS,TYL,EQIX,CLX,ODFL,TMO,CHTR,DG,NEE,ADBE,MKTX,TMUS,ROL,CCI,ZTS,ATVI,COST,DPZ,PYPL,TTWO,AMT,MSCI,NDAQ",ok
2020-07-31,0.03468484149451691,30,"AMZN,WST,JKHY,TMO,DHR,MSFT,BIO,SNPS,CLX,ADBE,CDNS,ROL,EQIX,DG,ODFL,PYPL,MKTX,TMUS,GRMN,DPZ,IDXX,MKC,TTWO,MSCI,DLR,CCI,CHTR,COST,NDAQ,NFLX",ok
2020-08-31,-0.028679770572731245,30,"AMZN,DHR,WST,TMO,BIO,MSFT,CDNS,SNPS,IDXX,ROL,ODFL,PYPL,ADBE,EQIX,MKTX,MKC,TTWO,CLX,CHTR,PGR,ANSS,GRMN,DG,CHD,MSCI,NDAQ,FAST,TMUS,DPZ,BR",ok
