entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
90,2011-03-31,recovery,"BBY,ZION,NFLX","0.353,0.315,0.332",42.700097169268666,27.381601216747086,exited,2011-09-30,27.381601216747086,-35.87461614383943
91,2011-04-29,recovery,"RF,NI,BKNG","0.305,0.400,0.295",6.648374574905496,5.990829713449862,exited,2011-10-31,5.990829713449862,-9.890310090793598
92,2011-05-31,recovery,"ORLY,KDP,BKNG","0.400,0.400,0.200",1.915181996377787,2.034033088520536,exited,2011-11-30,2.034033088520536,6.205733573495054
93,2011-06-30,recovery,"NVDA,CMG,BKNG","0.216,0.394,0.389",252.7184769168008,246.3922882605515,exited,2011-12-30,246.3922882605515,-2.503255295548479
94,2011-07-29,recovery,"CMG,F,NFLX","0.362,0.354,0.284",5.114126920925858,4.595955640297158,exited,2012-01-31,4.595955640297158,-10.132155275780486
95,2011-08-31,normal,"KDP,NI,CMG","0.400,0.400,0.200",6.770721069100903,7.50756735995861,exited,2012-02-29,7.50756735995861,10.882833354639354
97,2011-10-31,normal,"MU,GNW,VFC","0.224,0.376,0.400",35.37243093019695,37.555078493671544,exited,2012-04-30,37.555078493671544,6.170476571943206
98,2011-11-30,normal,"NFLX,TLAB,BIIB","0.219,0.400,0.381",3.034033088520536,3.0838726105074654,exited,2012-05-31,3.0838726105074654,1.642682216469571
99,2011-12-30,recovery,"NFLX,NVDA,BIIB","0.298,0.302,0.400",247.3922882605515,276.9173354018636,exited,2012-06-29,276.9173354018636,11.934505860674438
100,2012-01-31,recovery,"PHM,BBBY,BIIB","0.259,0.400,0.341",5.595955640297158,7.209241272861794,exited,2012-07-31,7.209241272861794,28.82949287423169
101,2012-02-29,recovery,"BBBY,NVDA,BIIB","0.400,0.311,0.289",8.50756735995861,10.21734980292688,exited,2012-08-31,10.21734980292688,20.097195480525553
102,2012-03-30,recovery,"NI,BBBY,AAPL","0.400,0.300,0.300",1.0,1.353729391762855,exited,2012-09-28,1.353729391762855,35.3729391762855
103,2012-04-30,recovery,"NFLX,NVDA,AAPL","0.200,0.400,0.400",38.555078493671544,37.587826161901276,exited,2012-10-31,37.587826161901276,-2.5087546688020157
