date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2017-01-31,bull,tactical_reb,0.015692065579499728,63.06566165913159,"NVDA,NAVI,MO",3,1,2017
2017-02-28,bull,hold_min,0.004923735437035899,63.37618029230278,"NVDA,NAVI,MO",3,2,2017
2017-03-31,bull,hold_min,-0.00023786638433000856,63.361105229444,"NVDA,NAVI,MO",3,3,2017
2017-04-28,bull,tactical_reb,-0.004845451130828434,63.05409209045945,"COL,NVDA,FAST",3,1,2017
2017-05-31,bull,hold_min,0.1003687507024338,69.38275254025507,"COL,NVDA,FAST",3,2,2017
2017-06-30,bull,hold_min,0.019423511593292357,70.73040923859524,"COL,NVDA,FAST",3,3,2017
2017-07-31,bull,hold,0.028712219660973367,72.76123628536432,"COL,NVDA,FAST",3,4,2017
2017-08-31,bull,tactical_reb,0.012272955502676885,73.65423170061435,"NVDA,BSX,COL",3,1,2017
2017-09-29,bull,hold_min,0.039759587778408476,76.58269359116616,"NVDA,BSX,COL",3,2,2017
2017-10-31,bull,hold_min,-0.008546831947665236,75.92815417894292,"NVDA,BSX,COL",3,3,2017
2017-11-30,bull,hold,0.01199839554045281,76.83917020543836,"NVDA,BSX,COL",3,4,2017
2017-12-29,bull,hold,0.007406225609982102,77.40825843566365,"NVDA,BSX,COL",3,5,2017
2018-01-31,bull,tactical_reb,0.058072240166809036,81.90352941043393,"NVDA,RF,CSX",3,1,2018
2018-02-28,bull,hold_min,-0.016703940341142903,80.53541774143301,"NVDA,RF,CSX",3,2,2018
2018-03-29,bull,hold_min,-0.01484084369587465,79.34020419475043,"NVDA,RF,CSX",3,3,2018
2018-04-30,normal,hold,0.0164778063829736,80.64755671785711,"NVDA,RF,CSX",3,4,2018
2018-05-31,normal,hold,0.053604796226107546,84.9706525618513,"NVDA,RF,CSX",3,5,2018
2018-06-29,bull,hold,-0.02911860655074252,82.4964255615429,"NVDA,RF,CSX",3,6,2018
2018-07-31,bull,tactical_reb,0.06236316087160183,87.64116342016953,"NVDA,AMD,CPRT",3,1,2018
2018-08-31,bull,hold_min,0.19035034149257762,104.3236888060056,"NVDA,AMD,CPRT",3,2,2018
2018-09-28,bull,hold_min,-0.024840902037113116,101.73219427222534,"NVDA,AMD,CPRT",3,3,2018
2018-10-31,normal,hold,-0.20853840288774717,80.51712495642946,"NVDA,AMD,CPRT",3,4,2018
2018-11-30,normal,tactical_reb,-0.02293985083437262,78.67007412031641,"NVDA,COTY,KIM",3,1,2018
2018-12-31,crash,hold,-0.1545028076462793,66.51532679098663,,0,0,2018
2019-01-31,normal,init,-0.001,66.44881146419564,"COTY,IVZ,WDC",3,1,2019
2019-02-28,recovery,hold_min,0.20480691367760687,80.05798745772275,"COTY,IVZ,WDC",3,2,2019
2019-03-29,recovery,hold_min,0.0045414831504976185,80.42156945882473,"COTY,IVZ,WDC",3,3,2019
2019-04-30,recovery,tactical_reb,0.05252483438198949,84.64569907538917,"NVDA,CMG,ANET",3,1,2019
2019-05-31,normal,hold_min,-0.16242992909028153,70.8967041767764,"NVDA,CMG,ANET",3,2,2019
2019-06-28,recovery,hold_min,0.12511754877263054,79.76712601943298,"NVDA,CMG,ANET",3,3,2019
2019-07-31,recovery,tactical_reb,0.05625581326864258,84.25449056575849,"COTY,CMG,KR",3,1,2019
2019-08-30,recovery,hold_min,0.04570103082537355,88.10500763628036,"COTY,CMG,KR",3,2,2019
2019-09-30,recovery,hold_min,0.060434648366383015,93.42960279209646,"COTY,CMG,KR",3,3,2019
2019-10-31,recovery,tactical_reb,-0.024114325809793943,91.17661091008821,"NVDA,CMG,CPRT",3,1,2019
2019-11-29,bull,hold_min,0.0656516870834955,97.16250923889095,"NVDA,CMG,CPRT",3,2,2019
2019-12-31,bull,hold_min,0.03842928857939856,100.89639534553078,"NVDA,CMG,CPRT",3,3,2019
2020-01-31,bull,hold,0.06076446556218176,107.02731088585256,"NVDA,CMG,CPRT",3,4,2020
2020-02-28,normal,hold,-0.07614785637699009,98.87741058810118,"NVDA,CMG,CPRT",3,5,2020
2020-03-31,crash,hold,-0.13928208458599778,85.10555872292484,,0,0,2020
2020-04-30,normal,init,-0.001,85.02045316420191,"FTI,HAL,COTY",3,1,2020
2020-05-29,recovery,hold_min,-0.14502864616157118,72.69005194575443,"FTI,HAL,COTY",3,2,2020
2020-06-30,recovery,hold_min,0.0980508817093217,79.81737563053206,"FTI,HAL,COTY",3,3,2020
2020-07-31,recovery,hold,0.02083301426260012,81.48021215544624,"FTI,HAL,COTY",3,4,2020
2020-08-31,recovery,hold,0.012852003676927914,82.52739614166491,"FTI,HAL,COTY",3,5,2020
2020-09-30,recovery,tactical_reb,-0.22859673322623736,63.66190298201273,"FTI,OXY,DVN",3,1,2020
2020-10-30,recovery,hold_min,-0.09326813307132617,57.724276143112505,"FTI,OXY,DVN",3,2,2020
2020-11-30,recovery,hold_min,0.5921373366628867,91.90497527928815,"FTI,OXY,DVN",3,3,2020
2020-12-31,recovery,tactical_reb,0.12177529050138097,103.0967303424457,"AVGO,FTNT,CMG",3,1,2020
2021-01-29,recovery,hold_min,0.021892666989920227,105.35379272758246,"AVGO,FTNT,CMG",3,2,2021
2021-02-26,recovery,hold_min,0.06402711393808061,112.0992920183603,"AVGO,FTNT,CMG",3,3,2021
2021-03-31,bull,hold,0.023605435378312112,114.74544461205426,"AVGO,FTNT,CMG",3,4,2021
2021-04-30,bull,hold,0.04219173621772379,119.58675414331148,"AVGO,FTNT,CMG",3,5,2021
2021-05-31,bull,hold,0.014614932527891714,121.33450648634555,"AVGO,FTNT,CMG",3,6,2021
2021-06-30,bull,hold,0.07199939857103574,130.07051797927585,"AVGO,FTNT,CMG",3,7,2021
2021-07-30,bull,tactical_reb,0.10824612544588849,144.15014758527224,"ZTS,DHR,CDW",3,1,2021
2021-08-31,bull,hold_min,0.0603328337860497,152.847134479769,"ZTS,DHR,CDW",3,2,2021
