date,regime,cum_deposits,active_tranches,cash_pool,total_nav,current_picks,current_weights
2023-01-31,recovery,233.0,5,0.0,7681.904245564477,"WBD,NVDA,FSLR","0.372,0.312,0.316"
2023-02-28,recovery,234.0,5,0.0,8084.355859928116,"WBD,CCL,FSLR","0.297,0.315,0.387"
2023-03-31,recovery,235.0,6,0.0,9098.141683979422,"ANET,NVDA,FSLR","0.400,0.271,0.329"
2023-04-28,recovery,236.0,6,0.0,8330.973017176848,"CCL,NVDA,FSLR","0.318,0.314,0.368"
2023-05-31,recovery,237.0,6,0.0,9298.151750682779,"WBD,CSX,FSLR","0.280,0.400,0.320"
2023-06-30,recovery,238.0,6,0.0,10005.27737050585,"NWL,F,FSLR","0.392,0.319,0.289"
2023-07-31,recovery,239.0,6,0.0,10788.958974358908,"ROL,ANET,RCL","0.400,0.368,0.232"
2023-08-31,recovery,240.0,6,0.0,11239.196024083702,"CARR,HWM,NVDA","0.381,0.400,0.219"
2023-09-29,recovery,241.0,6,0.0,10546.953912965091,"ANET,CCL,NVDA","0.400,0.233,0.367"
2023-10-31,normal,242.0,6,0.0,10688.528597393279,"F,MTCH,NVDA","0.389,0.296,0.315"
2023-11-30,recovery,243.0,6,0.0,12005.385556124875,"CCL,F,META","0.203,0.397,0.400"
2023-12-29,recovery,244.0,6,0.0,13186.899768109899,"CCL,KEY,NVDA","0.236,0.371,0.392"
2024-01-31,recovery,245.0,6,0.0,13657.707828825274,"KEY,CCL,NVDA","0.357,0.243,0.400"
2024-02-29,recovery,246.0,6,0.0,15121.189325221323,"UBER,HWM,NVDA","0.321,0.400,0.279"
2024-03-28,recovery,247.0,6,0.0,16626.35480198947,"MSFT,CARR,SMCI","0.400,0.400,0.200"
2024-04-30,recovery,248.0,6,0.0,15506.05514506982,"F,KEY,NVDA","0.357,0.316,0.327"
2024-05-31,recovery,249.0,6,0.0,17636.943125575614,"KEY,CARR,VST","0.262,0.363,0.375"
2024-06-28,recovery,250.0,6,0.0,19351.534450224735,"KEY,AAL,VST","0.307,0.326,0.367"
