entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
84,2010-09-30,recovery,"HST,NVDA,PFG,KIM","0.220,0.154,0.267,0.358",37.87664669727521,48.27460573624197,exited,2011-03-31,48.27460573624197,27.452163656596284
85,2010-10-29,recovery,"HST,AMZN,CSX,GME","0.231,0.212,0.341,0.215",6.909312318086204,8.50780494885051,exited,2011-04-29,8.50780494885051,23.135336154656105
86,2010-11-30,recovery,"AMZN,ORLY,CSX,PFG","0.200,0.327,0.265,0.208",1.0,1.1369573479898094,exited,2011-05-31,1.1369573479898094,13.69573479898094
87,2010-12-31,recovery,"NFLX,JBL,AMZN,HST","0.247,0.168,0.296,0.289",343.5542718823762,394.8397324705044,exited,2011-06-30,394.8397324705044,14.927906530496271
88,2011-01-31,recovery,"NVDA,ORLY,GME,NI","0.153,0.330,0.168,0.348",4.5737428674931575,4.605060925194095,exited,2011-07-29,4.605060925194095,0.6847358631269618
89,2011-02-28,recovery,"GME,NFLX,ORLY,NVDA","0.236,0.214,0.400,0.150",5.3810760904462445,5.81431452919545,exited,2011-08-31,5.81431452919545,8.051148719461377
90,2011-03-31,recovery,"BBY,ZION,NDAQ,ORLY","0.185,0.165,0.299,0.352",49.27460573624197,45.700880534335816,exited,2011-09-30,45.700880534335816,-7.252671327368221
91,2011-04-29,recovery,"RF,NI,F,BAC","0.163,0.398,0.195,0.245",9.50780494885051,7.907164121954567,exited,2011-10-31,7.907164121954567,-16.8350196023895
92,2011-05-31,recovery,"ORLY,KDP,GNW,CSCO","0.299,0.347,0.172,0.183",2.136957347989809,2.140646522648771,exited,2011-11-30,2.140646522648771,0.17263679419865507
93,2011-06-30,recovery,"NVDA,CMG,ORLY,NI","0.095,0.173,0.339,0.393",395.8397324705044,457.8893223448524,exited,2011-12-30,457.8893223448524,15.675432450170113
94,2011-07-29,recovery,"CMG,F,CSX,KDP","0.146,0.143,0.311,0.400",5.605060925194095,5.701397925987964,exited,2012-01-31,5.701397925987964,1.718750287991444
95,2011-08-31,normal,"KDP,NI,CMG,HBAN","0.307,0.400,0.123,0.170",6.81431452919545,7.6365208584295905,exited,2012-02-29,7.6365208584295905,12.06586995231076
97,2011-10-31,normal,"MU,GNW,NFLX,RF","0.220,0.370,0.178,0.232",55.60804465629038,65.63470689880896,exited,2012-04-30,65.63470689880896,18.030956320245938
98,2011-11-30,normal,"NFLX,TLAB,GME,NVDA","0.142,0.386,0.325,0.147",3.140646522648771,2.779644352309963,exited,2012-05-31,2.779644352309963,-11.494517696768513
99,2011-12-30,recovery,"NFLX,NVDA,BBBY,DXC","0.168,0.170,0.387,0.275",458.8893223448524,444.1606598120246,exited,2012-06-29,444.1606598120246,-3.2096328712916344
100,2012-01-31,recovery,"PHM,BBBY,NVDA,NFLX","0.230,0.400,0.187,0.184",6.701397925987964,7.240207598500563,exited,2012-07-31,7.240207598500563,8.040257845651876
101,2012-02-29,recovery,"BBBY,NVDA,NI,GME","0.223,0.163,0.400,0.214",8.636520858429591,9.096270153725778,exited,2012-08-31,9.096270153725778,5.323315983744226
102,2012-03-30,recovery,"NI,BBBY,NFLX,NVDA","0.400,0.307,0.082,0.211",1.0,1.253629504331074,exited,2012-09-28,1.253629504331074,25.36295043310739
103,2012-04-30,recovery,"NFLX,NVDA,CMG,AAPL","0.080,0.225,0.400,0.295",66.63470689880896,55.53919306364153,exited,2012-10-31,55.53919306364153,-16.65125330560395
104,2012-05-31,recovery,"NFLX,APH,MU,RF","0.121,0.386,0.251,0.241",3.779644352309963,4.232163293384511,exited,2012-11-30,4.232163293384511,11.972527012971135
105,2012-06-29,recovery,"NFLX,ORLY,FAST,HPQ","0.089,0.352,0.323,0.237",445.1606598120246,465.9125961926522,exited,2012-12-31,465.9125961926522,4.661673470739847
106,2012-07-31,recovery,"MU,CBRE,APH,ORLY","0.218,0.167,0.289,0.326",8.240207598500563,9.727524112138116,exited,2013-01-31,9.727524112138116,18.049502950729
107,2012-08-31,recovery,"LRCX,NFLX,VLO,ORLY","0.341,0.098,0.186,0.374",10.096270153725778,14.679337586238978,exited,2013-02-28,14.679337586238978,45.39366877798861
108,2012-09-28,recovery,"LYB,DHI,NFLX,LRCX","0.182,0.351,0.100,0.366",2.253629504331074,3.34277429251985,exited,2013-03-28,3.34277429251985,48.328475736390295
109,2012-10-31,recovery,"AMD,STZ,NFLX,AAPL","0.230,0.249,0.121,0.400",56.53919306364153,73.15059577461342,exited,2013-04-30,73.15059577461342,29.3803321392893
110,2012-11-30,recovery,"VLO,AMD,GME,AAPL","0.260,0.158,0.260,0.321",5.232163293384511,6.4538356782344195,exited,2013-05-31,6.4538356782344195,23.349278612817326
111,2012-12-31,recovery,"AMD,NFLX,WY,VLO","0.179,0.109,0.400,0.312",466.9125961926522,614.9474204137084,exited,2013-06-28,614.9474204137084,31.705039750089714
112,2013-01-31,recovery,"MKC,NFLX,HRL,NI","0.358,0.038,0.328,0.277",10.727524112138116,12.8022164345004,exited,2013-07-31,12.8022164345004,19.339898942895715
113,2013-02-28,recovery,"OKE,HRL,NFLX,CAG","0.297,0.344,0.051,0.307",15.679337586238978,17.471058090279985,exited,2013-08-30,17.471058090279985,11.427271682787898
114,2013-03-28,recovery,"KDP,NFLX,TJX,RSG","0.396,0.048,0.301,0.256",4.3427742925198505,4.725599227135168,exited,2013-09-30,4.725599227135168,8.815216007765114
115,2013-04-30,recovery,"HRL,NFLX,BDX,DVA","0.325,0.057,0.389,0.229",74.15059577461342,80.3844127185385,exited,2013-10-31,80.3844127185385,8.40696811509547
116,2013-05-31,recovery,"NVDA,GME,NFLX,LRCX","0.400,0.191,0.092,0.317",7.4538356782344195,9.063959622605797,exited,2013-11-29,9.063959622605797,21.601280386057088
117,2013-06-28,recovery,"CSX,NFLX,ABT,AMD","0.400,0.089,0.400,0.111",615.9474204137084,742.0923411762907,exited,2013-12-31,742.0923411762907,20.479819637503404
118,2013-07-31,recovery,"AMD,CSX,ABT,HRL","0.075,0.268,0.391,0.266",13.8022164345004,14.413636209865547,exited,2014-01-31,14.413636209865547,4.429866596185428
119,2013-08-30,recovery,"AMD,ABT,HRL,CSX","0.081,0.374,0.291,0.254",18.471058090279985,21.550227209957164,exited,2014-02-28,21.550227209957164,16.670236781386816
120,2013-09-30,recovery,"MNST,CSX,GME,NFLX","0.247,0.400,0.242,0.111",5.725599227135168,6.3669495157750875,exited,2014-03-31,6.3669495157750875,11.201452689884173
121,2013-10-31,recovery,"MNST,ORLY,GME,CMG","0.187,0.400,0.178,0.235",81.3844127185385,85.57716719385596,exited,2014-04-30,85.57716719385596,5.151790539814738
122,2013-11-29,recovery,"ORLY,D,WU,GME","0.284,0.335,0.253,0.128",10.063959622605797,10.581064067914339,exited,2014-05-30,10.581064067914339,5.1381808423298425
123,2013-12-31,recovery,"MNST,NEE,CMG,HRL","0.184,0.312,0.214,0.291",743.0923411762907,838.5457601440974,exited,2014-06-30,838.5457601440974,12.8454316749796
