name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,spec_name,spec_strategy,spec_weights,spec_k_normal,spec_k_recovery,spec_k_bull,spec_weighting,spec_regime_gate,spec_hold_months,spec_cost_bps,spec_cash_yield_yr,spec_pullback_filter,spec_min_pick_mom,spec_quality_blend,spec_spy_dd_scale,spec_crash_persist,spec_monthly_exposure
ml_plus_lgb_w0.3_k2_h12,0.3650520958755843,0.1194382410561079,24.56138548194764,0.9911006009190145,-0.5814262590287794,4,0.38370898311370644,0.4155649971485038,0.09813614393044445,0.6262966625125201,1.09327580962397,0.479799819925407,-0.3167959531167067,-0.5463875957654843,23.56487857742718,10,8,10,ml_plus_lgb_w0.3_k2_h12,ml_plus_lgb,{'lgb': 0.3},2,2,2,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.3_k3_h6,0.3431429605728167,0.1194382410561079,22.37047195167088,0.8879774251300832,-0.46993129754042495,4,0.33970275139755574,0.28306420221399375,0.06667907595578204,1.0028491365158598,0.83889943112193,0.40478441651855135,-0.30045056156238714,-0.469931297540425,19.16425540581211,10,7,10,ml_plus_lgb_w0.3_k3_h6,ml_plus_lgb,{'lgb': 0.3},3,3,3,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.3_k3_h12,0.32549269808155024,0.1194382410561079,20.605445702544234,0.9620834783094447,-0.5230021557775313,4,0.3136155576917272,0.3194770632912195,0.024227196258181705,0.5447582026001987,0.9868427361458091,0.21644565858537526,-0.3049561310625006,-0.5230021557775313,16.555536035229263,10,8,10,ml_plus_lgb_w0.3_k3_h12,ml_plus_lgb,{'lgb': 0.3},3,3,3,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.5_k2_h6,0.22735479266484648,0.1194382410561079,10.791655160873859,0.6332262764479335,-0.6509991759427928,4,0.2439450635793438,0.2549636509880141,0.04478860708027721,0.49514703022479156,0.6698964162504107,0.2924892739792269,-0.3558895437197469,-0.6333166457036848,9.588486623990923,10,7,10,ml_plus_lgb_w0.5_k2_h6,ml_plus_lgb,{'lgb': 0.5},2,2,2,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.5_k2_h12,0.29710321035175946,0.1194382410561079,17.766496929565157,0.8448492880402094,-0.6634781522976294,4,0.30419130462282196,0.2829157464777,0.09813614393044445,0.5413420360673777,0.9493884624667157,0.479799819925407,-0.3583220570630795,-0.6440568346856136,15.61311072833873,10,8,10,ml_plus_lgb_w0.5_k2_h12,ml_plus_lgb,{'lgb': 0.5},2,2,2,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.5_k3_h6,0.2433895959107666,0.1194382410561079,12.395135485465868,0.7169324235248214,-0.5649234530614098,4,0.2528759600067613,0.2751720101222289,0.05798812585377733,0.5092817511939736,0.7085074837530225,0.37300121958130394,-0.30854172457162804,-0.5649234530614099,10.481576266732674,10,6,10,ml_plus_lgb_w0.5_k3_h6,ml_plus_lgb,{'lgb': 0.5},3,3,3,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.5_k3_h12,0.28216644668075985,0.1194382410561079,16.272820562465196,0.8572684179759543,-0.5654953147260934,4,0.2944979179815038,0.3303979535866638,0.06101198324181123,0.44907576820558104,0.97266586352901,0.36478926190362376,-0.3016527579299105,-0.5508549826259626,14.643772064206928,10,9,10,ml_plus_lgb_w0.5_k3_h12,ml_plus_lgb,{'lgb': 0.5},3,3,3,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.7_k2_h6,0.19907048308974207,0.1194382410561079,7.963224203363417,0.5999631291406522,-0.6755553627604864,4,0.22281910784352105,0.19533237342522503,0.04478860708027721,0.4473529064845947,0.6183044807696058,0.2924892739792269,-0.3934649275294566,-0.6755553627604864,7.475891050408644,10,6,10,ml_plus_lgb_w0.7_k2_h6,ml_plus_lgb,{'lgb': 0.7},2,2,2,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.7_k2_h12,0.2580529264730922,0.1194382410561079,13.861468541698429,0.7485452235213146,-0.6634781522976293,4,0.25901880091434837,0.23192077619928686,0.09813614393044445,0.5413420360673777,0.8429426702127,0.479799819925407,-0.3890266420094127,-0.6440568346856136,11.095860357491372,10,7,10,ml_plus_lgb_w0.7_k2_h12,ml_plus_lgb,{'lgb': 0.7},2,2,2,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.7_k3_h6,0.18640845283223362,0.1194382410561079,6.697021177612572,0.6108605959224912,-0.5568655065068179,4,0.19853513453485255,0.21949668024094493,0.036744570307551516,0.42323409711197635,0.5852715312969152,0.27067308908810606,-0.33216475575162974,-0.49794358201430733,5.047493719541796,10,5,10,ml_plus_lgb_w0.7_k3_h6,ml_plus_lgb,{'lgb': 0.7},3,3,3,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.7_k3_h12,0.2553994152848109,0.1194382410561079,13.596117422870302,0.7921507548769678,-0.5250370514118075,4,0.25192261433280316,0.25529766526279496,0.01218794937397294,0.4404876839306002,0.8602753386368096,0.1647969054416392,-0.33200321978266956,-0.47831332643244745,10.38624169933686,10,8,10,ml_plus_lgb_w0.7_k3_h12,ml_plus_lgb,{'lgb': 0.7},3,3,3,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
